47,84,108,57
46,147,110,45
45,193,110,44
46,238,110,48
45,287,113,47
45,334,113,48
46,382,112,46
48,428,111,47
49,478,110,45
50,524,110,45
47,570,112,48
50,620,110,48
155,91,108,52
157,146,107,44
158,191,111,47
158,239,105,47
158,289,115,44
161,335,109,45
159,382,111,46
161,430,112,44
162,479,106,44
162,524,110,46
162,573,109,46
164,619,107,48
400,85,107,54
398,142,110,46
396,191,112,44
394,237,114,46
396,284,112,45
395,333,111,45
396,379,110,46
396,426,111,47
404,522,103,47
403,569,107,47
402,618,109,47
509,90,112,50
508,141,114,44
509,187,110,48
510,235,109,46
509,284,112,45
510,331,110,47
511,378,109,46
511,427,108,44
512,522,112,44
512,569,112,47
514,617,114,46
750,84,105,51
750,139,105,44
750,184,105,49
750,234,105,45
749,280,109,47
750,328,106,46
750,376,107,45
750,424,110,49
750,474,110,44
750,517,112,50
749,567,111,46
755,615,106,44
906,140,100,46
904,186,100,48
905,234,99,49
904,279,103,51
901,327,108,52
902,375,105,53
903,423,103,50
906,474,98,48
906,521,102,48
906,567,106,49
906,615,104,45
